"Source","Illicit Marketplaces","Darknet Forums & Directories","Financial Fraud & Money Laundering","Hacking & Malware","Illicit Drug Trade","Firearms Trafficking","Child Sexual Exploitation","Anonymity & OPSEC Guidance","Illicit Hosting Infrastructure","Digital Archiving & Preservation","Law & Political Reporting"
"Illicit Marketplaces",66970,1127,50281,11180,5332,943,2276,8694,10020,729,1415
"Darknet Forums & Directories",986,152506,846,480,399,38,10671,2296,1283,50672,1392
"Financial Fraud & Money Laundering",41374,407,313634,11008,1414,187,1269,6515,6640,685,1098
"Hacking & Malware",5845,275,11554,41446,607,187,1606,5548,7462,495,2831
"Illicit Drug Trade",6008,413,2376,878,57262,351,2601,2055,1711,903,640
"Firearms Trafficking",328,40,121,155,439,6056,15,158,143,46,152
"Child Sexual Exploitation",8307,435,3505,1626,401,7,2575337,2674,2593,75,469
"Anonymity & OPSEC Guidance",8948,2330,12676,14126,2872,544,2046,61889,20987,4468,6964
"Illicit Hosting Infrastructure",8083,982,20758,10570,2650,667,3274,15927,49597,5283,4844
"Digital Archiving & Preservation",81,166,57,137,20,4,38,54236,1407,274366,311
"Law & Political Reporting",691,392,392,3438,409,176,378,6518,4331,21037,39853
